Raga Name Raw,Raga Name,AAROHANAM,AVAROHANAM,Melakarta,Melakarta Name,path,avro_path,pali,value,raaga,Raga_Rank
Kokilanandhi,Kokilanandhi,S G2 M2 D1 N2 S,S N2 D1 P M2 G2 S,0.0,Śanmukhapriyā,S-G2-M2-D1-N2-S,S-N2-D1-P-M2-G2-S,False,1,Kokilanandhi,56.0
Rājeshwari,Rājeshwari,S R2 G2 P N2 S,S N2 D1 P M1 G2 S,0.0,Śanmukhapriyā,S-R2-G2-P-N2-S,S-N2-D1-P-M1-G2-S,False,1,Rājeshwari,56.0
Samudrapriyā,Samudrapriyā,S G2 M2 P N2 S,S N2 P M2 G2 S,0.0,Śanmukhapriyā,S-G2-M2-P-N2-S,S-N2-P-M2-G2-S,True,1,Samudrapriyā,56.0
Vasukari,Vasukari,S G2 M2 P D1 N2 S,S N2 D1 M2 G2 S,0.0,Śanmukhapriyā,S-G2-M2-P-D1-N2-S,S-N2-D1-M2-G2-S,False,1,Vasukari,56.0
57 Simhendramadhyamam(Sumadhyuti),Simhendramadhyamam(Sumadhyuti),S R2 G2 M2 P D1 N3 S,S N3 D1 P M2 G2 R2 S,1.0,Simhendramadhyamam(Sumadhyuti),S-R2-G2-M2-P-D1-N3-S,S-N3-D1-P-M2-G2-R2-S,True,1,Simhendramadhyamam(Sumadhyuti),57.0
Ghantana,Ghantana,S R2 G2 M2 D1 N3 S,S N3 D1 M2 G2 R2 S,0.0,Simhendramadhyamam(Sumadhyuti),S-R2-G2-M2-D1-N3-S,S-N3-D1-M2-G2-R2-S,True,1,Ghantana,57.0
Jayachoodāmani,Jayachoodāmani,S G2 M2 P D1 S,S N3 D1 P M2 G2 R2 S,0.0,Simhendramadhyamam(Sumadhyuti),S-G2-M2-P-D1-S,S-N3-D1-P-M2-G2-R2-S,False,1,Jayachoodāmani,57.0
Pranavapriyā,Pranavapriyā,S R2 M2 P N3 S,S N3 P M2 G2 R2 S,0.0,Simhendramadhyamam(Sumadhyuti),S-R2-M2-P-N3-S,S-N3-P-M2-G2-R2-S,False,1,Pranavapriyā,57.0
Sarvāngi,Sarvāngi,S R2 M2 D1 N3 S,S N3 D1 M2 G2 S R3 S,0.0,Simhendramadhyamam(Sumadhyuti),S-R2-M2-D1-N3-S,S-N3-D1-M2-G2-S-R3-S,False,1,Sarvāngi,57.0
Seshanādam,Seshanādam,S R2 G2 M2 P D1 S,S N3 D1 P M2 G2 R2 S,0.0,Simhendramadhyamam(Sumadhyuti),S-R2-G2-M2-P-D1-S,S-N3-D1-P-M2-G2-R2-S,False,1,Seshanādam,57.0
Suddha,Suddha,S R2 G2 M2 P N3 S,S N3 P M2 G2 R2 S,0.0,Simhendramadhyamam(Sumadhyuti),S-R2-G2-M2-P-N3-S,S-N3-P-M2-G2-R2-S,True,1,Suddha,57.0
Sunādapriyā,Sunādapriyā,S R2 G2 M2 P S,S N3 D1 P M2 G2 R2 S,0.0,Simhendramadhyamam(Sumadhyuti),S-R2-G2-M2-P-S,S-N3-D1-P-M2-G2-R2-S,False,1,Sunādapriyā,57.0
Vijayasaraswathi,Vijayasaraswathi,S G2 M2 P D1 N3 S,S N3 P M2 G2 R2 S,0.0,Simhendramadhyamam(Sumadhyuti),S-G2-M2-P-D1-N3-S,S-N3-P-M2-G2-R2-S,False,1,Vijayasaraswathi,57.0
58 Hemavati,Hemavati,S R2 G2 M2 P D2 N2 S,S N2 D2 P M2 G2 R2 S,1.0,Hemavati,S-R2-G2-M2-P-D2-N2-S,S-N2-D2-P-M2-G2-R2-S,True,1,Hemavati,58.0
Chandrarekhā,Chandrarekhā,S R2 G2 M2 P D2 S,S N2 D2 M2 G2 R2 S,0.0,Hemavati,S-R2-G2-M2-P-D2-S,S-N2-D2-M2-G2-R2-S,False,1,Chandrarekhā,58.0
Hamsabhramari,Hamsabhramari,S R2 G2 M2 P D2 S,S N2 D2 P M2 G2 R2 S,0.0,Hemavati,S-R2-G2-M2-P-D2-S,S-N2-D2-P-M2-G2-R2-S,False,1,Hamsabhramari,58.0
Hemāmbari,Hemāmbari,S R2 G2 M2 P D2 N2 S,S P M2 G2 R2 S,0.0,Hemavati,S-R2-G2-M2-P-D2-N2-S,S-P-M2-G2-R2-S,False,1,Hemāmbari,58.0
Hemapriya,Hemapriya,S R2 G2 M2 D2 S,S D2 M2 G2 R2 S,0.0,Hemavati,S-R2-G2-M2-D2-S,S-D2-M2-G2-R2-S,True,1,Hemapriya,58.0
Kshemakari,Kshemakari,S R2 M2 D2 N2 S,S N2 D2 M2 R2 S,0.0,Hemavati,S-R2-M2-D2-N2-S,S-N2-D2-M2-R2-S,True,1,Kshemakari,58.0
Madhukowns,Madhukowns,S G2 M2 P N2 P S,S N2 P M2 G2 S,0.0,Hemavati,S-G2-M2-P-N2-P-S,S-N2-P-M2-G2-S,False,1,Madhukowns,58.0
Shakthiroopini,Shakthiroopini,S G2 M2 D2 S,S N2 D2 M2 G2 S,0.0,Hemavati,S-G2-M2-D2-S,S-N2-D2-M2-G2-S,False,1,Shakthiroopini,58.0
Simhārava,Simhārava,S R2 M2 P N2 S,S N2 P M2 R2 G2 R2 S,0.0,Hemavati,S-R2-M2-P-N2-S,S-N2-P-M2-R2-G2-R2-S,False,1,Simhārava,58.0
Yāgini,Yāgini,S R2 M2 P N2 S,S N2 P M2 R2 S,0.0,Hemavati,S-R2-M2-P-N2-S,S-N2-P-M2-R2-S,True,1,Yāgini,58.0
59 Dharmavati,Dharmavati,S R2 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R2 S,1.0,Dharmavati,S-R2-G2-M2-P-D2-N3-S,S-N3-D2-P-M2-G2-R2-S,True,1,Dharmavati,59.0
Sri Tyagaraja (Raga created by Mahesh Mahadev)[6],Sri Tyagaraja (Raga created by Mahesh Mahadev)[6],S G2 M2 P N3 S,S N3 P M2 G2 R2 S,0.0,Dharmavati,S-G2-M2-P-N3-S,S-N3-P-M2-G2-R2-S,False,1,Sri Tyagaraja (Raga created by Mahesh Mahadev)[6],59.0
Gowrikriya,Gowrikriya,S G2 M2 P D2 N3 S,S N3 D2 N3 P M2 G2 S,0.0,Dharmavati,S-G2-M2-P-D2-N3-S,S-N3-D2-N3-P-M2-G2-S,False,1,Gowrikriya,59.0
Karmukhāvati,Karmukhāvati,S R2 G2 M2 D2 N3 S,S N3 D2 M2 G2 R2 S,0.0,Dharmavati,S-R2-G2-M2-D2-N3-S,S-N3-D2-M2-G2-R2-S,True,1,Karmukhāvati,59.0
Karpoora Bharani,Karpoora Bharani,S R2 G2 P M2 P D2 S,S D2 P M2 P G2 R2 S,0.0,Dharmavati,S-R2-G2-P-M2-P-D2-S,S-D2-P-M2-P-G2-R2-S,True,1,Karpoora Bharani,59.0
Lalitasimharavam,Lalitasimharavam,S R2 G2 M2 P S,S N3 P M2 G2 R2 S,0.0,Dharmavati,S-R2-G2-M2-P-S,S-N3-P-M2-G2-R2-S,False,1,Lalitasimharavam,59.0
Moharanjani,Moharanjani,S R2 G2 P D2 S,S N3 D2 M2 G2 S,0.0,Dharmavati,S-R2-G2-P-D2-S,S-N3-D2-M2-G2-S,False,1,Moharanjani,59.0
Ranjani,Ranjani,S R2 G2 M2 D2 S,S N3 D2 M2 G2 S,0.0,Dharmavati,S-R2-G2-M2-D2-S,S-N3-D2-M2-G2-S,False,1,Ranjani,59.0
Varada,Varada,S R2 M2 P N3 S,S N3 P M2 R2 S,0.0,Dharmavati,S-R2-M2-P-N3-S,S-N3-P-M2-R2-S,True,1,Varada,59.0
Vijayanāgari,Vijayanāgari,S R2 G2 M2 P D2 S,S D2 P M2 G2 R2 S,0.0,Dharmavati,S-R2-G2-M2-P-D2-S,S-D2-P-M2-G2-R2-S,True,1,Vijayanāgari,59.0
Vishveshwarapriyā,Vishveshwarapriyā,S R2 M2 P N3 S,S N3 D2 P M2 R2 S,0.0,Dharmavati,S-R2-M2-P-N3-S,S-N3-D2-P-M2-R2-S,False,1,Vishveshwarapriyā,59.0
60 Nītimati,Nītimati,S R2 G2 M2 P D3 N3 S,S N3 D3 P M2 G2 R2 S,1.0,Nītimati,S-R2-G2-M2-P-D3-N3-S,S-N3-D3-P-M2-G2-R2-S,True,1,Nītimati,60.0
Nisshadham,Nisshadham,S R2 G2 M2 P D3 N3 S,S N3 P M2 G2 R2 S,0.0,Nītimati,S-R2-G2-M2-P-D3-N3-S,S-N3-P-M2-G2-R2-S,False,1,Nisshadham,60.0
Amarasenapriyā,Amarasenapriyā,S R2 M2 P N2 S,S N3 P M2 G2 R2 S,0.0,Nītimati,S-R2-M2-P-N2-S,S-N3-P-M2-G2-R2-S,False,1,Amarasenapriyā,60.0
Deshyagānavaridhi,Deshyagānavaridhi,S R2 G2 M2 P D3 N3 P S,S N3 S P M2 G2 R2 S,0.0,Nītimati,S-R2-G2-M2-P-D3-N3-P-S,S-N3-S-P-M2-G2-R2-S,False,1,Deshyagānavaridhi,60.0
Hamsanādam,Hamsanādam,S R2 M2 P D3 N3 S,S N3 D3 P M2 R2 S,0.0,Nītimati,S-R2-M2-P-D3-N3-S,S-N3-D3-P-M2-R2-S,True,1,Hamsanādam,60.0
Nuthanachandrikā,Nuthanachandrikā,S R2 G2 M2 P D3 N3 S,S N3 P D3 N3 P M2 G2 S,0.0,Nītimati,S-R2-G2-M2-P-D3-N3-S,S-N3-P-D3-N3-P-M2-G2-S,False,1,Nuthanachandrikā,60.0
Rathnasāranga,Rathnasāranga,S R2 G2 M2 P N3 S,S N3 D3 P M2 G2 R2 S,0.0,Nītimati,S-R2-G2-M2-P-N3-S,S-N3-D3-P-M2-G2-R2-S,False,1,Rathnasāranga,60.0
61 Kāntāmani,Kāntāmani,S R2 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R2 S,1.0,Kāntāmani,S-R2-G3-M2-P-D1-N1-S,S-N1-D1-P-M2-G3-R2-S,True,1,Kāntāmani,61.0
Kunthalam,Kunthalam,S R2 G3 M2 P D1 S,S N1 D1 P M2 G3 R2 S,0.0,Kāntāmani,S-R2-G3-M2-P-D1-S,S-N1-D1-P-M2-G3-R2-S,False,1,Kunthalam,61.0
Kanakakusumāvali,Kanakakusumāvali,S R2 G3 M2 P D2 S,S D2 P M2 G3 R2 S,0.0,Kāntāmani,S-R2-G3-M2-P-D2-S,S-D2-P-M2-G3-R2-S,True,1,Kanakakusumāvali,61.0
Shruthiranjani,Shruthiranjani,S R2 G3 M2 P D1 N1,N1 D1 P M2 G3 R2 S,0.0,Kāntāmani,S-R2-G3-M2-P-D1-N1,N1-D1-P-M2-G3-R2-S,True,1,Shruthiranjani,61.0
62 Riśabhapriyā,Riśabhapriyā,S R2 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R2 S,1.0,Riśabhapriyā,S-R2-G3-M2-P-D1-N2-S,S-N2-D1-P-M2-G3-R2-S,True,1,Riśabhapriyā,62.0
Gopriya,Gopriya,S R2 G3 M2 D1 N2 S,S N2 D1 M2 G3 R2 S,0.0,Riśabhapriyā,S-R2-G3-M2-D1-N2-S,S-N2-D1-M2-G3-R2-S,True,1,Gopriya,62.0
Poornasāveri,Poornasāveri,S R2 M2 P D1 S,S N2 D1 P M2 G3 R2 S,0.0,Riśabhapriyā,S-R2-M2-P-D1-S,S-N2-D1-P-M2-G3-R2-S,False,1,Poornasāveri,62.0
Rathnabhānu,Rathnabhānu,S R2 M2 P N2 D1 N2 S,S N2 D1 P M2 G3 R2 S,0.0,Riśabhapriyā,S-R2-M2-P-N2-D1-N2-S,S-N2-D1-P-M2-G3-R2-S,False,1,Rathnabhānu,62.0
Suddha Sāranga,Suddha Sāranga,S G3 M2 P N2 S,S D1 P M2 G3 S,0.0,Riśabhapriyā,S-G3-M2-P-N2-S,S-D1-P-M2-G3-S,False,1,Suddha Sāranga,62.0
63 Latāngi,Latāngi,S R2 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R2 S,1.0,Latāngi,S-R2-G3-M2-P-D1-N3-S,S-N3-D1-P-M2-G3-R2-S,True,1,Latāngi,63.0
Chitrachandrika,Chitrachandrika,S G3 R2 G3 M2 P N3 D1 S,S N3 D1 M2 G3 R2 S,0.0,Latāngi,S-G3-R2-G3-M2-P-N3-D1-S,S-N3-D1-M2-G3-R2-S,False,1,Chitrachandrika,63.0
Hamsalatha,Hamsalatha,S R2 G3 P N3 S,S N3 D1 P M2 G3 R2 S,0.0,Latāngi,S-R2-G3-P-N3-S,S-N3-D1-P-M2-G3-R2-S,False,1,Hamsalatha,63.0
Kananapriyā,Kananapriyā,S R2 G3 M2 P M2 D1 N3 S,S D1 N3 P M2 G3 R2 S,0.0,Latāngi,S-R2-G3-M2-P-M2-D1-N3-S,S-D1-N3-P-M2-G3-R2-S,False,1,Kananapriyā,63.0
Karunākari,Karunākari,S M2 P D1 N3 D1 S,S N3 D1 P M2 S,0.0,Latāngi,S-M2-P-D1-N3-D1-S,S-N3-D1-P-M2-S,False,1,Karunākari,63.0
Lalithāngi,Lalithāngi,S R2 G3 M2 D1 N3 S,S N3 D1 M2 G3 R2 S,0.0,Latāngi,S-R2-G3-M2-D1-N3-S,S-N3-D1-M2-G3-R2-S,True,1,Lalithāngi,63.0
Ramani,Ramani,S G3 M2 P N3 S,S N3 D1 P M2 G3 S,0.0,Latāngi,S-G3-M2-P-N3-S,S-N3-D1-P-M2-G3-S,False,1,Ramani,63.0
Rathnakānthi,Rathnakānthi,S R2 G3 M2 P N3 S,S N3 P M2 G3 R2 S,0.0,Latāngi,S-R2-G3-M2-P-N3-S,S-N3-P-M2-G3-R2-S,True,1,Rathnakānthi,63.0
Raviswaroopini,Raviswaroopini,S G3 M2 P D1 N3 S,S N3 D1 P M2 G3 S,0.0,Latāngi,S-G3-M2-P-D1-N3-S,S-N3-D1-P-M2-G3-S,True,1,Raviswaroopini,63.0
Sajjananandhi,Sajjananandhi,S R2 G3 M2 P D1 N3 S,S N3 D1 M2 G3 R2 S,0.0,Latāngi,S-R2-G3-M2-P-D1-N3-S,S-N3-D1-M2-G3-R2-S,False,1,Sajjananandhi,63.0
64 Vāchaspati,Vāchaspati,S R2 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R2 S,1.0,Vāchaspati,S-R2-G3-M2-P-D2-N2-S,S-N2-D2-P-M2-G3-R2-S,True,1,Vāchaspati,64.0
Bhagavataranjana,Bhagavataranjana,S R2 M2 P D2 N2 S,S N2 D2 P M2 G3 R2 S,0.0,Vāchaspati,S-R2-M2-P-D2-N2-S,S-N2-D2-P-M2-G3-R2-S,False,1,Bhagavataranjana,64.0
Bhogeeshwari,Bhogeeshwari,S R2 G3 P D2 N2 D2 S,S N2 D2 P M2 G3 R2 S,0.0,Vāchaspati,S-R2-G3-P-D2-N2-D2-S,S-N2-D2-P-M2-G3-R2-S,False,1,Bhogeeshwari,64.0
Bhooshāvali,Bhooshāvali,S R2 G3 M2 P D2 S,S N2 D2 P M2 G3 R2 S,0.0,Vāchaspati,S-R2-G3-M2-P-D2-S,S-N2-D2-P-M2-G3-R2-S,False,1,Bhooshāvali,64.0
Gaganamohini,Gaganamohini,S G3 P D2 N2 S,S N2 P M2 G3 S,0.0,Vāchaspati,S-G3-P-D2-N2-S,S-N2-P-M2-G3-S,False,1,Gaganamohini,64.0
Gurupriya,Gurupriya,S R2 G3 M2 D2 N2 S,S N2 D2 M2 G3 R2 S,0.0,Vāchaspati,S-R2-G3-M2-D2-N2-S,S-N2-D2-M2-G3-R2-S,True,1,Gurupriya,64.0
Hrdhini,Hrdhini,S G3 M2 P N2 S,S N2 P M2 G3 S,0.0,Vāchaspati,S-G3-M2-P-N2-S,S-N2-P-M2-G3-S,True,1,Hrdhini,64.0
Mangalakari,Mangalakari,S R2 P M2 P D2 N2 S,S N2 D2 P G3 R2 S,0.0,Vāchaspati,S-R2-P-M2-P-D2-N2-S,S-N2-D2-P-G3-R2-S,False,1,Mangalakari,64.0
Nādhabrahma,Nādhabrahma,S P M2 P D2 N2 S,S N2 D2 P M2 G3 S,0.0,Vāchaspati,S-P-M2-P-D2-N2-S,S-N2-D2-P-M2-G3-S,False,1,Nādhabrahma,64.0
Pranavākāri,Pranavākāri,P N2 D2 N2 S R2 G3 M2,P M2 G3 R2 S N2 D2 N2 P,0.0,Vāchaspati,P-N2-D2-N2-S-R2-G3-M2,P-M2-G3-R2-S-N2-D2-N2-P,False,1,Pranavākāri,64.0
Saraswathi,Saraswathi,S R2 M2 P D2 S,S N2 D2 P M2 R2 S,0.0,Vāchaspati,S-R2-M2-P-D2-S,S-N2-D2-P-M2-R2-S,False,1,Saraswathi,64.0
Shivaranjani (Original),Shivaranjani (Original),S R2 G3 M2 D2 P N2 S,S N2 D2 P D2 M2 G3 R2 S,0.0,Vāchaspati,S-R2-G3-M2-D2-P-N2-S,S-N2-D2-P-D2-M2-G3-R2-S,False,1,Shivaranjani (Original),64.0
Triveni,Triveni,S R2 M2 P D2 N2 S,S N2 D2 P M2 R2 S,0.0,Vāchaspati,S-R2-M2-P-D2-N2-S,S-N2-D2-P-M2-R2-S,True,1,Triveni,64.0
Utthari,Utthari,S G3 M2 P D2 N2 S,S N2 D2 M2 G3 S,0.0,Vāchaspati,S-G3-M2-P-D2-N2-S,S-N2-D2-M2-G3-S,False,1,Utthari,64.0
65 Mechakalyāni,Mechakalyāni,S R2 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R2 S,1.0,Mechakalyāni,S-R2-G3-M2-P-D2-N3-S,S-N3-D2-P-M2-G3-R2-S,True,1,Mechakalyāni,65.0
Amritha Kalyani (Raga created by Mahesh Mahadev)[4],Amritha Kalyani (Raga created by Mahesh Mahadev)[4],S G3 M2 P N3 S,S N3 D2 P M2 G3 R2 S,0.0,Mechakalyāni,S-G3-M2-P-N3-S,S-N3-D2-P-M2-G3-R2-S,False,1,Amritha Kalyani (Raga created by Mahesh Mahadev)[4],65.0
Amritha Behāg,Amritha Behāg,S M2 G3 P N3 S,D2 N3 D2 M2 G3 S,0.0,Mechakalyāni,S-M2-G3-P-N3-S,D2-N3-D2-M2-G3-S,False,1,Amritha Behāg,65.0
Aprameya,Aprameya,S R2 M2 P D2 S,S N3 D2 M2 G3 M2 R2 S,0.0,Mechakalyāni,S-R2-M2-P-D2-S,S-N3-D2-M2-G3-M2-R2-S,False,1,Aprameya,65.0
Bhoopkalyāni,Bhoopkalyāni,S R2 G3 P D2 S,S N3 D2 P M2 G3 R2 S,0.0,Mechakalyāni,S-R2-G3-P-D2-S,S-N3-D2-P-M2-G3-R2-S,False,1,Bhoopkalyāni,65.0
Chandrakāntha,Chandrakāntha,S R2 G3 M2 P D2 N3 S,S N3 D2 N3 P M2 G3 R2 S,0.0,Mechakalyāni,S-R2-G3-M2-P-D2-N3-S,S-N3-D2-N3-P-M2-G3-R2-S,False,1,Chandrakāntha,65.0
Hameer Kalyāni {carnatic interpretation of Kedar},Hameer Kalyāni {carnatic interpretation of Kedar},S P M2 P D2 N3 S,S N3 D2 P M2 M1 G3 P M1 R2 S,0.0,Mechakalyāni,S-P-M2-P-D2-N3-S,S-N3-D2-P-M2-M1-G3-P-M1-R2-S,False,1,Hameer Kalyāni {carnatic interpretation of Kedar},65.0
Hamsakalyāni,Hamsakalyāni,S R2 G3 P N3 S,S N3 D2 P M2 G3 R2 S,0.0,Mechakalyāni,S-R2-G3-P-N3-S,S-N3-D2-P-M2-G3-R2-S,False,1,Hamsakalyāni,65.0
Kalyānadāyini,Kalyānadāyini,S R2 G3 M2 D2 N3 S,S N3 D2 M2 G3 R2 S,0.0,Mechakalyāni,S-R2-G3-M2-D2-N3-S,S-N3-D2-M2-G3-R2-S,True,1,Kalyānadāyini,65.0
Kannadamaruva,Kannadamaruva,S G3 M2 P D2 N3 S,S N3 D2 P M2 G3 S,0.0,Mechakalyāni,S-G3-M2-P-D2-N3-S,S-N3-D2-P-M2-G3-S,True,1,Kannadamaruva,65.0
Kowmoda,Kowmoda,S R2 G3 M2 N3 S,S N3 P M2 G3 S,0.0,Mechakalyāni,S-R2-G3-M2-N3-S,S-N3-P-M2-G3-S,False,1,Kowmoda,65.0
Kunthalashreekānti,Kunthalashreekānti,S G3 M2 P D2 N3 S,S N3 P M2 G3 R2 S,0.0,Mechakalyāni,S-G3-M2-P-D2-N3-S,S-N3-P-M2-G3-R2-S,False,1,Kunthalashreekānti,65.0
Mrgānandhana,Mrgānandhana,S R2 G3 D2 N3 S,S N3 D2 M2 D2 G3 R2 S,0.0,Mechakalyāni,S-R2-G3-D2-N3-S,S-N3-D2-M2-D2-G3-R2-S,False,1,Mrgānandhana,65.0
Nada Kalyani (Raga created by Mahesh Mahadev)[4],Nada Kalyani (Raga created by Mahesh Mahadev)[4],S R2 M2 P N3 S,S N3 D2 M2 G3 R2 S,0.0,Mechakalyāni,S R2 M2 P N3 S,S-N3-D2-M2-G3-R2-S,False,1,Nada Kalyani (Raga created by Mahesh Mahadev)[4],65.0
Nāndhakalyāni,Nāndhakalyāni,S G3 M2 D2 N3 S,S N3 D2 M2 G3 M2 R2 S,0.0,Mechakalyāni,S-G3-M2-D2-N3-S,S-N3-D2-M2-G3-M2-R2-S,False,1,Nāndhakalyāni,65.0
Pramodhini,Pramodhini,S G3 M2 P D2 S,S D2 P M2 G3 S,0.0,Mechakalyāni,S-G3-M2-P-D2-S,S-D2-P-M2-G3-S,True,1,Pramodhini,65.0
Rajasadhaka (Raga created by Mahesh Mahadev)[4],Rajasadhaka (Raga created by Mahesh Mahadev)[4],S R2 G3 P D2 S,S N3 P M2 R2 S,0.0,Mechakalyāni,S-R2-G3-P-D2-S,S-N3-P-M2-R2-S,False,1,Rajasadhaka (Raga created by Mahesh Mahadev)[4],65.0
Sāranga,Sāranga,S R2 G3 M2 P D2 N3 S,S N3 D2 P M2 R2 G3 M1 R2 S,0.0,Mechakalyāni,S-R2-G3-M2-P-D2-N3-S,S-N3-D2-P-M2-R2-G3-M1-R2-S,False,1,Sāranga,65.0
Sāranga Tārangini,Sāranga Tārangini,S R2 M2 P D2 N3 S,S N3 D2 P M2 R2 S,0.0,Mechakalyāni,S-R2-M2-P-D2-N3-S,S-N3-D2-P-M2-R2-S,True,1,Sāranga Tārangini,65.0
Shilangi,Shilangi,S G3 M2 P N3 S,S N3 P M2 G3 S,0.0,Mechakalyāni,S-G3-M2-P-N3-S,S-N3-P-M2-G3-S,True,1,Shilangi,65.0
Suddha Koshala,Suddha Koshala,S G3 M2 P S,S N3 D2 M2 G3 R2 S,0.0,Mechakalyāni,S-G3-M2-P-S,S-N3-D2-M2-G3-R2-S,False,1,Suddha Koshala,65.0
Swayambhooshwara Rāga,Swayambhooshwara Rāga,S G3 P S,S P G3 S,0.0,Mechakalyāni,S-G3-P-S,S-P-G3-S,True,1,Swayambhooshwara Rāga,65.0
Vandanadhārini,Vandanadhārini,S R2 M2 P D2 S,S D2 P M2 R2 S,0.0,Mechakalyāni,S-R2-M2-P-D2-S,S-D2-P-M2-R2-S,True,1,Vandanadhārini,65.0
66 Chitrāmbari,Chitrāmbari,S R2 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R2 S,1.0,Chitrāmbari,S-R2-G3-M2-P-D3-N3-S,S-N3-D3-P-M2-G3-R2-S,True,1,Chitrāmbari,66.0
Chaturāngini,Chaturāngini,S R2 G3 M2 P N3 S,S N3 D3 N3 P G3 M2 G3 R2 S,0.0,Chitrāmbari,S-R2-G3-M2-P-N3-S,S-N3-D3-N3-P-G3-M2-G3-R2-S,False,1,Chaturāngini,66.0
Chitrasindhu,Chitrasindhu,S G3 M2 P N3 S,S N3 D3 P M2 G3 R2 S,0.0,Chitrāmbari,S-G3-M2-P-N3-S,S-N3-D3-P-M2-G3-R2-S,False,1,Chitrasindhu,66.0
Churnikavinodhini,Churnikavinodhini,S R2 G3 M2 P D3 N3 S,S N3 D3 N3 P M2 G3 R2 S,0.0,Chitrāmbari,S-R2-G3-M2-P-D3-N3-S,S-N3-D3-N3-P-M2-G3-R2-S,False,1,Churnikavinodhini,66.0
Vijayakoshalam,Vijayakoshalam,S R2 G3 M2 P S,S N3 P M2 G3 S,0.0,Chitrāmbari,S-R2-G3-M2-P-S,S-N3-P-M2-G3-S,False,1,Vijayakoshalam,66.0
67 Sucharitrā,Sucharitrā,S R3 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R3 S,1.0,Sucharitrā,S-R3-G3-M2-P-D1-N1-S,S-N1-D1-P-M2-G3-R3-S,True,1,Sucharitrā,67.0
Santhāna Manjari,Santhāna Manjari,S R3 G3 M2 P D1 S,S N1 D1 P M2 R3 S,0.0,Sucharitrā,S-R3-G3-M2-P-D1-S,S-N1-D1-P-M2-R3-S,False,1,Santhāna Manjari,67.0
68 Jyothisvarūpiṇi,Jyothisvarūpiṇi,S R3 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R3 S,1.0,Jyothisvarūpiṇi,S-R3-G3-M2-P-D1-N2-S,S-N2-D1-P-M2-G3-R3-S,True,1,Jyothisvarūpiṇi,68.0
Jyothi,Jyothi,S R3 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 S,0.0,Jyothisvarūpiṇi,S-R3-G3-M2-P-D1-N2-S,S-N2-D1-P-M2-G3-S,False,1,Jyothi,68.0
Deepavarāli,Deepavarāli,S R3 M2 P N2 S,S N2 P M2 G3 R3 S,0.0,Jyothisvarūpiṇi,S-R3-M2-P-N2-S,S-N2-P-M2-G3-R3-S,False,1,Deepavarāli,68.0
Jyothishmathi,Jyothishmathi,S R3 G3 M2 P S,S N2 D1 M2 P M2 G3 R3 S,0.0,Jyothisvarūpiṇi,S-R3-G3-M2-P-S,S-N2-D1-M2-P-M2-G3-R3-S,False,1,Jyothishmathi,68.0
Rāmagiri,Rāmagiri,S R3 M2 G3 M2 P D1 N2 S,S D1 N2 D1 P M2 G3 R3 S,0.0,Jyothisvarūpiṇi,S-R3-M2-G3-M2-P-D1-N2-S,S-D1-N2-D1-P-M2-G3-R3-S,False,1,Rāmagiri,68.0
69 Dhātuvardhani,Dhātuvardhani,S R3 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R3 S,1.0,Dhātuvardhani,S-R3-G3-M2-P-D1-N3-S,S-N3-D1-P-M2-G3-R3-S,True,1,Dhātuvardhani,69.0
Dhowtha Panchamam,Dhowtha Panchamam,S R3 G3 M2 P N3 P S,S N3 D1 P M2 R3 G3 M2 R3 S,0.0,Dhātuvardhani,S-R3-G3-M2-P-N3-P-S,S-N3-D1-P-M2-R3-G3-M2-R3-S,False,1,Dhowtha Panchamam,69.0
Dhwithiyapanchamam,Dhwithiyapanchamam,S R3 G3 M2 P N3 P S,S N3 D1 P M2 R3 M2 G3 R3 S,0.0,Dhātuvardhani,S-R3-G3-M2-P-N3-P-S,S-N3-D1-P-M2-R3-M2-G3-R3-S,False,1,Dhwithiyapanchamam,69.0
Sumukham,Sumukham,S R3 M2 N3 S,S N3 M2 R3 S,0.0,Dhātuvardhani,S-R3-M2-N3-S,S-N3-M2-R3-S,True,1,Sumukham,69.0
Tavapriyā,Tavapriyā,S R3 M2 P N3 S,S N3 D1 P M2 G3 R3 S,0.0,Dhātuvardhani,S-R3-M2-P-N3-S,S-N3-D1-P-M2-G3-R3-S,False,1,Tavapriyā,69.0
70 Nāsikābhūśaṇi,Nāsikābhūśaṇi,S R3 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R3 S,1.0,Nāsikābhūśaṇi,S-R3-G3-M2-P-D2-N2-S,S-N2-D2-P-M2-G3-R3-S,True,1,Nāsikābhūśaṇi,70.0
