Raga Name Raw,Raga Name,AAROHANAM,AVAROHANAM,Melakarta,Melakarta Name,path,avro_path,pali,value,raaga,Raga_Rank
Parpathi,Parpathi,S G2 M2 P N3 S,S N3 P M2 G2 S,0.0,Śubhapantuvarāḷi,S-G2-M2-P-N3-S,S-N3-P-M2-G2-S,True,1,Parpathi,45.0
Shekharachandrikā,Shekharachandrikā,S R1 G2 M2 D1 N3 S,S N3 D1 M2 G2 R1 S,0.0,Śubhapantuvarāḷi,S-R1-G2-M2-D1-N3-S,S-N3-D1-M2-G2-R1-S,True,1,Shekharachandrikā,45.0
46 Śadvidamārgini,Śadvidamārgini,S R1 G2 M2 P D2 N2 S,S N2 D2 P M2 G2 R1 S,1.0,Śadvidamārgini,S-R1-G2-M2-P-D2-N2-S,S-N2-D2-P-M2-G2-R1-S,True,1,Śadvidamārgini,46.0
Sthavarājam,Sthavarājam,S R1 M2 P D2 S,S N2 D2 M2 G2 S,0.0,Śadvidamārgini,S-R1-M2-P-D2-S,S-N2-D2-M2-G2-S,False,1,Sthavarājam,46.0
Ganahemāvati,Ganahemāvati,S G2 M2 P N2 S,S N2 D2 P M2 G2 S,0.0,Śadvidamārgini,S-G2-M2-P-N2-S,S-N2-D2-P-M2-G2-S,False,1,Ganahemāvati,46.0
Indhudhanyāsi,Indhudhanyāsi,S G2 M2 D2 N2 S,S N2 D2 P D2 M2 G2 R1 S,0.0,Śadvidamārgini,S-G2-M2-D2-N2-S,S-N2-D2-P-D2-M2-G2-R1-S,False,1,Indhudhanyāsi,46.0
Shreekānti,Shreekānti,S G2 M2 P D2 N2 S,S N2 D2 P M2 G2 S,0.0,Śadvidamārgini,S-G2-M2-P-D2-N2-S,S-N2-D2-P-M2-G2-S,True,1,Shreekānti,46.0
Teevravāhini,Teevravāhini,S R1 G2 M2 P D2 P N2 S,S N2 D2 P M2 G2 R1 G2 M2 R1 S,0.0,Śadvidamārgini,S-R1-G2-M2-P-D2-P-N2-S,S-N2-D2-P-M2-G2-R1-G2-M2-R1-S,False,1,Teevravāhini,46.0
Vaishalini,Vaishalini,R1 G2 M2 D2 N2,N2 D2 M2 G2 R1,0.0,Śadvidamārgini,R1 G2 M2 D2 N2,N2 D2 M2 G2 R1,False,1,Vaishalini,46.0
47 Suvarnāngi,Suvarnāngi,S R1 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R1 S,1.0,Suvarnāngi,S-R1-G2-M2-P-D2-N3-S,S-N3-D2-P-M2-G2-R1-S,True,1,Suvarnāngi,47.0
Abhiru,Abhiru,S R1 G2 R1 M2 P N3 S,S D2 P M2 G2 R1 G2 S,0.0,Suvarnāngi,S-R1-G2-R1-M2-P-N3-S,S-D2-P-M2-G2-R1-G2-S,False,1,Abhiru,47.0
Rathikā,Rathikā,S M2 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R1 S,0.0,Suvarnāngi,S-M2-G2-M2-P-D2-N3-S,S-N3-D2-P-M2-G2-R1-S,False,1,Rathikā,47.0
48 Divyamaṇi,Divyamaṇi,S R1 G2 M2 P D3 N3 S,S N3 D3 P M2 G2 R1 S,1.0,Divyamaṇi,S-R1-G2-M2-P-D3-N3-S,S-N3-D3-P-M2-G2-R1-S,True,1,Divyamaṇi,48.0
Jeevanthikā,Jeevanthikā,S M2 P D3 N3 S,S N3 P M2 G2 S,0.0,Divyamaṇi,S-M2-P-D3-N3-S,S-N3-P-M2-G2-S,False,1,Jeevanthikā,48.0
Deshamukhāri,Deshamukhāri,S R1 G2 M2 P D3 N3 D3 S,S D3 N3 D3 P M2 G2 R1 S,0.0,Divyamaṇi,S-R1-G2-M2-P-D3-N3-D3-S,S-D3-N3-D3-P-M2-G2-R1-S,True,1,Deshamukhāri,48.0
Dundubi,Dundubi,S R1 G2 M2 P D3 N3 S,S N3 P M2 G2 R1 S,0.0,Divyamaṇi,S-R1-G2-M2-P-D3-N3-S,S-N3-P-M2-G2-R1-S,False,1,Dundubi,48.0
Suddha Gāndhāri,Suddha Gāndhāri,S R1 G2 M2 N3 S,S N3 D3 N3 S N3 P M2 R1 S,0.0,Divyamaṇi,S-R1-G2-M2-N3-S,S-N3-D3-N3-S-N3-P-M2-R1-S,False,1,Suddha Gāndhāri,48.0
49 Dhavaḻāmbari,Dhavaḻāmbari,S R1 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R1 S,1.0,Dhavaḻāmbari,S-R1-G3-M2-P-D1-N1-S,S-N1-D1-P-M2-G3-R1-S,True,1,Dhavaḻāmbari,49.0
Dhavalāngam,Dhavalāngam,S R1 G3 M2 P D1 S,S N1 D1 P M2 G3 R1 S,0.0,Dhavaḻāmbari,S-R1-G3-M2-P-D1-S,S-N1-D1-P-M2-G3-R1-S,False,1,Dhavalāngam,49.0
Abhirāmam,Abhirāmam,S R1 M2 P D1 N1 S,S N1 D1 P M2 G2 R1 S,0.0,Dhavaḻāmbari,S-R1-M2-P-D1-N1-S,S-N1-D1-P-M2-G2-R1-S,False,1,Abhirāmam,49.0
Bhinnapauarali,Bhinnapauarali,S M2 P D1 N1 D1 S,S N1 D1 P M2 G3 S,0.0,Dhavaḻāmbari,S-M2-P-D1-N1-D1-S,S-N1-D1-P-M2-G3-S,False,1,Bhinnapauarali,49.0
Dharmini,Dharmini,S R1 G3 M2 D1 N1 S,S N1 D1 M2 G3 R1 S,0.0,Dhavaḻāmbari,S-R1-G3-M2-D1-N1-S,S-N1-D1-M2-G3-R1-S,True,1,Dharmini,49.0
Sudharmini,Sudharmini,S R1 M2 P D1 N1 S,S N1 D1 M1 G3 R2 S,0.0,Dhavaḻāmbari,S-R1-M2-P-D1-N1-S,S-N1-D1-M1-G3-R2-S,False,1,Sudharmini,49.0
50 Nāmanārāyaṇi,Nāmanārāyaṇi,S R1 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R1 S,1.0,Nāmanārāyaṇi,S-R1-G3-M2-P-D1-N2-S,S-N2-D1-P-M2-G3-R1-S,True,1,Nāmanārāyaṇi,50.0
Narmada,Narmada,S R1 G3 M2 D1 N2 S,S N2 D1 M2 P M2 G3 R1 S,0.0,Nāmanārāyaṇi,S-R1-G3-M2-D1-N2-S,S-N2-D1-M2-P-M2-G3-R1-S,False,1,Narmada,50.0
Swaramanjari,Swaramanjari,S G3 M2 P D1 S,S N2 D1 P M2 G3 S,0.0,Nāmanārāyaṇi,S-G3-M2-P-D1-S,S-N2-D1-P-M2-G3-S,False,1,Swaramanjari,50.0
51 Panthuvarāli (Kāmavardhini),Panthuvarāli (Kāmavardhini),S R1 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R1 S,1.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-P-D1-N3-S,S-N3-D1-P-M2-G3-R1-S,True,1,Panthuvarāli (Kāmavardhini),51.0
Kāshirāmakriyā,Kāshirāmakriyā,S G3 R1 G3 M2 P D1 N3 S,S N3 D1 P M1 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-G3-R1-G3-M2-P-D1-N3-S,S-N3-D1-P-M1-G3-R1-S,False,1,Kāshirāmakriyā,51.0
Mandāri,Mandāri,S R1 G3 M2 P N3 S,S N3 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-P-N3-S,S-N3-P-M2-G3-R1-S,True,1,Mandāri,51.0
ādhi Panchama,ādhi Panchama,S R1 P D1 N3 S,S N3 D1 N3 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-P-D1-N3-S,S-N3-D1-N3-P-M2-G3-R1-S,False,1,ādhi Panchama,51.0
Bhogavasantha,Bhogavasantha,S R1 G3 M2 D1 N3 S,S N3 D1 M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-D1-N3-S,S-N3-D1-M2-G3-R1-S,True,1,Bhogavasantha,51.0
Deepakam,Deepakam,S R2 M2 P D1 P S,S N3 D1 N3 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R2-M2-P-D1-P-S,S-N3-D1-N3-P-M2-G3-R1-S,False,1,Deepakam,51.0
Gamakapriyā,Gamakapriyā,S R1 G3 M2 P N3 D1 S,S D1 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-P-N3-D1-S,S-D1-P-M2-G3-R1-S,False,1,Gamakapriyā,51.0
Hamsanārāyani,Hamsanārāyani,S R1 G3 M2 P S,S N3 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-P-S,S-N3-P-M2-G3-R1-S,False,1,Hamsanārāyani,51.0
Indumathi,Indumathi,S G3 M2 D1 N3 S,S N3 D1 P M2 G3 S,0.0,Panthuvarāli (Kāmavardhini),S-G3-M2-D1-N3-S,S-N3-D1-P-M2-G3-S,False,1,Indumathi,51.0
Kamalāptapriyā,Kamalāptapriyā,S R1 G3 M2 P D1 S,S D1 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-P-D1-S,S-D1-P-M2-G3-R1-S,True,1,Kamalāptapriyā,51.0
Kumudhakriyā,Kumudhakriyā,S R1 G3 M2 D1 S,S N3 D1 M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-D1-S,S-N3-D1-M2-G3-R1-S,False,1,Kumudhakriyā,51.0
Māruthi,Māruthi,S R1 M2 P N3 S,S N3 D1 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-M2-P-N3-S,S-N3-D1-P-M2-G3-R1-S,False,1,Māruthi,51.0
Ponni,Ponni,S G3 M2 P N3 S,S N3 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-G3-M2-P-N3-S,S-N3-P-M2-G3-R1-S,False,1,Ponni,51.0
Prathāpa,Prathāpa,S G3 M2 D1 N3 S,S N3 D1 P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-G3-M2-D1-N3-S,S-N3-D1-P-M2-G3-R1-S,False,1,Prathāpa,51.0
Tāndavapriyā,Tāndavapriyā,S R1 G3 M2 P S,S P M2 G3 R1 S,0.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-P-S,S-P-M2-G3-R1-S,True,1,Tāndavapriyā,51.0
52 Rāmapriyā,Rāmapriyā,S R1 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R1 S,1.0,Rāmapriyā,S-R1-G3-M2-P-D2-N2-S,S-N2-D2-P-M2-G3-R1-S,True,1,Rāmapriyā,52.0
Ramāmanohari,Ramāmanohari,S R1 G3 M2 P D2 S,S N2 D2 P M2 G3 R1 S,0.0,Rāmapriyā,S-R1-G3-M2-P-D2-S,S-N2-D2-P-M2-G3-R1-S,False,1,Ramāmanohari,52.0
Chintaramani,Chintaramani,S G3 M2 P D2 N2 S,S D2 P M2 G3 R1 S,0.0,Rāmapriyā,S-G3-M2-P-D2-N2-S,S-D2-P-M2-G3-R1-S,False,1,Chintaramani,52.0
Hamsagamini,Hamsagamini,S G3 M2 P D2 N2 S,S N2 D2 P M2 D2 P M2 G3 R1 S,0.0,Rāmapriyā,S-G3-M2-P-D2-N2-S,S-N2-D2-P-M2-D2-P-M2-G3-R1-S,False,1,Hamsagamini,52.0
Lokaranjani,Lokaranjani,S G3 M2 P M2 D2 N2 S,S N2 D2 N2 P M2 G3 R1 S,0.0,Rāmapriyā,S-G3-M2-P-M2-D2-N2-S,S-N2-D2-N2-P-M2-G3-R1-S,False,1,Lokaranjani,52.0
Meghashyāmala,Meghashyāmala,S G3 M2 P D2 N2 D2 P S,S N2 D2 P M2 G3 R1 S,0.0,Rāmapriyā,S-G3-M2-P-D2-N2-D2-P-S,S-N2-D2-P-M2-G3-R1-S,False,1,Meghashyāmala,52.0
Namoveenapaani (creation by Siri Girish),Namoveenapaani (creation by Siri Girish),S G3 M2 D2 N2 S,S N2 D2 M2 G3 R1 S,0.0,Rāmapriyā,S-G3-M2-D2-N2-S,S-N2-D2-M2-G3-R1-S,False,1,Namoveenapaani (creation by Siri Girish),52.0
Patalāmbari,Patalāmbari,S R1 G3 M2 D2 S,S D2 M2 G3 R1 S,0.0,Rāmapriyā,S-R1-G3-M2-D2-S,S-D2-M2-G3-R1-S,True,1,Patalāmbari,52.0
Raktimārgini,Raktimārgini,S P M2 D2 N2 S,S N2 D2 P M2 P G3 R1 S,0.0,Rāmapriyā,S-P-M2-D2-N2-S,S-N2-D2-P-M2-P-G3-R1-S,False,1,Raktimārgini,52.0
Rasavinodini,Rasavinodini,S G3 M2 P D2 N2 S,S N2 D2 P M2 G3 S,0.0,Rāmapriyā,S-G3-M2-P-D2-N2-S,S-N2-D2-P-M2-G3-S,True,1,Rasavinodini,52.0
Seemantinipriyā,Seemantinipriyā,S R1 G3 M2 D2 N2 S,S N2 D2 M2 G3 R1 S,0.0,Rāmapriyā,S-R1-G3-M2-D2-N2-S,S-N2-D2-M2-G3-R1-S,True,1,Seemantinipriyā,52.0
Sukhakari,Sukhakari,S R1 S P D2 N2 S,S N2 D2 P M2 G3 S R1 S,0.0,Rāmapriyā,S-R1-S-P-D2-N2-S,S-N2-D2-P-M2-G3-S-R1-S,False,1,Sukhakari,52.0
Vedhaswaroopi,Vedhaswaroopi,S R1 G3 M2 P D2 N3 P S,S N3 D2 P N3 P M2 G3 S,0.0,Rāmapriyā,S-R1-G3-M2-P-D2-N3-P-S,S-N3-D2-P-N3-P-M2-G3-S,False,1,Vedhaswaroopi,52.0
53 Gamanāśrama,Gamanāśrama,S R1 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R1 S,1.0,Gamanāśrama,S-R1-G3-M2-P-D2-N3-S,S-N3-D2-P-M2-G3-R1-S,True,1,Gamanāśrama,53.0
Gamakakriyā,Gamakakriyā,S R1 G3 M2 P D2 S,S N3 D2 P M2 G3 R1 S,0.0,Gamanāśrama,S-R1-G3-M2-P-D2-S,S-N3-D2-P-M2-G3-R1-S,False,1,Gamakakriyā,53.0
Alankāri,Alankāri,S G3 M2 D2 N3 D2 S,S N3 D2 M2 G3 S,0.0,Gamanāśrama,S-G3-M2-D2-N3-D2-S,S-N3-D2-M2-G3-S,False,1,Alankāri,53.0
Dvigāndhārabhooshani,Dvigāndhārabhooshani,S R1 G2 G3 G2 P D2 S,S D2 P G2 G3 G2 R1 S D2 S,0.0,Gamanāśrama,S-R1-G2-G3-G2-P-D2-S,S-D2-P-G2-G3-G2-R1-S-D2-S,False,1,Dvigāndhārabhooshani,53.0
