Raga Name Raw,raaga,AAROHANAM,AVAROHANAM,Melakarta,Melakarta Name,path,value
34 Vāgadhīśvari,Vāgadhīśvari,S R3 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R3 S,1.0,Vāgadhīśvari,S-R3-G3-M1-P-D2-N2-S,1
35 Śūlini,Śūlini,S R3 G3 M1 P D2 N3 S,S N3 D2 P M1 G3 R3 S,1.0,Śūlini,S-R3-G3-M1-P-D2-N3-S,1
36 Chalanāṭṭai,Chalanāṭṭai,S R3 G3 M1 P D3 N3 S,S N3 D3 P M1 G3 R3 S,1.0,Chalanāṭṭai,S-R3-G3-M1-P-D3-N3-S,1
37 Sālagam,Sālagam,S R1 G1 M2 P D1 N1 S,S N1 D1 P M2 G1 R1 S,1.0,Sālagam,S-R1-G1-M2-P-D1-N1-S,1
38 Jalārnavam,Jalārnavam,S R1 G1 M2 P D1 N2 S,S N2 D1 P M2 G1 R1 S,1.0,Jalārnavam,S-R1-G1-M2-P-D1-N2-S,1
39 Jhālavarāḷi,Jhālavarāḷi,S R1 G1 M2 P D1 N3 S,S N3 D1 P M2 G1 R1 S,1.0,Jhālavarāḷi,S-R1-G1-M2-P-D1-N3-S,1
40 Navanītam,Navanītam,S R1 G1 M2 P D2 N2 S,S N2 D2 P M2 G1 R1 S,1.0,Navanītam,S-R1-G1-M2-P-D2-N2-S,1
41 Pāvani,Pāvani,S R1 G1 M2 P D2 N3 S,S N3 D2 P M2 G1 R1 S,1.0,Pāvani,S-R1-G1-M2-P-D2-N3-S,1
42 Raghupriyā,Raghupriyā,S R1 G1 M2 P D3 N3 S,S N3 D3 P M2 G1 R1 S,1.0,Raghupriyā,S-R1-G1-M2-P-D3-N3-S,1
43 Ghavāmbhodi,Ghavāmbhodi,S R1 G2 M2 P D1 N1 S,S N1 D1 P M2 G2 R1 S,1.0,Ghavāmbhodi,S-R1-G2-M2-P-D1-N1-S,1
